bitcointaddress,valueCount
bitcoinpubkey_4104EF6EBD13A1F13C12B9A7BCAD2EE3EDB429171EE185D387C81DB3133687ADE1613E1095FFBE7AE37992B5CD4283F773634DFA4C3EE5B1DDDC0B2976B5F50469AC,50281.6207523336
bitcoinaddress_5605C6DC8A9672A014225BAC565DB25BCEC649A2,27216.579375345293
bitcoinaddress_F4B004C3CA2E7F96F9FC5BCA767708967AF67A44,16064.558855707026
bitcoinaddress_6A469FF8B29803F75B20A4C811674CE27522A110,6525.084769365637
bitcoinaddress_0120DE9F724A76ED33EFA61BAF02E57359FA1940,6477.076220238093
bitcoinaddress_314F9045678D32FD426AA0332BC1869D459A8673,5053.631406249503
bitcoinaddress_AFD959845417E4EF65211AC6AC25B44D4896A5A4,2809.147066791159
bitcoinaddress_E349BC52C931A910D9876C559383AAEACADAB850,2544.9483197010672
bitcoinaddress_E16173B3FDB5B0A01986BC85BA32DFED37536216,2324.408668570464
bitcoinpubkey_41044E9E2718CF10FD9D8786E47EEF81FC0B1AA2A355A6A05D4C1D296A13425DDB51F7BC3D9FA577B3392CA7EABE91893BBF1FCE75F3E538548CD99FF9332B3F2FF3,1908.2554720826595
bitcoinaddress_C7E768B62D94BAA123AD6A15CCA682FAA773DE73,1863.9106003019083
bitcoinaddress_ADF5A7C1FE0849E335104CC0E697851685CA7E4E,1758.9718367379062
bitcoinaddress_17EBC6064CB035D84DC177CE763D2C93FD5556C6,1618.140889224664
bitcoinaddress_E0B9930983AB9A2BBCD33660617E0BA78FB57CDD,1549.747370205179
bitcoinaddress_7B1DD94268DF8E11BA27AB1C99C61E914C717246,1490.2475241772456
bitcoinaddress_5D4D56D13F8213919D3F154748B59AB870F72A19,1347.9950492707903
bitcoinaddress_CF3FAF9ED6800285C8165C1B96EBDF1501292DF0,1240.5858381822882
bitcoinaddress_52E0EAF94040F1C88AAD1ACA0472F983A006572E,1170.5970411799537
bitcoinaddress_D67A6F27BECD346346895D02EEAE817E7078153F,1106.202215618553
bitcoinaddress_4C3F8602AA9B8C41D1575583F8BB2A24FD7AEECE,1104.669175605072
bitcoinaddress_B64F74B3EA78B2EC80C3767A41BE54A6B8B67AC1,1046.4922876789667
bitcoinaddress_B7863A044B697E549D93A60DE2D6167E8821F49D,1025.1622285467479
bitcoinaddress_E064EE7EB7B76E19F7F5F1765B49922887BD70AE,970.4329876181209
bitcoinaddress_0A2E8437B33DBE4C6FE22AC566A1AB0E97AECE98,966.8756207946658
bitcoinaddress_6B41EA01E7163ABD3046804AE6A5E437B4548E92,934.6050276755323
bitcoinaddress_68434055F57033EB0CDC715ECBDF3942A436492B,896.1095319156875
bitcoinaddress_CA776DE8132B41EA850CD0CD9696F16E521A49CD,888.3131022617999
bitcoinaddress_A0DE36C4399F2C4D3925216C638AEFE07E27AFF4,870.8384788791928
bitcoinaddress_A4DCFE90171E7C96D0B90D71450DF6F6C5F7D931,851.2674205918433
bitcoinaddress_8B2650C98CCE3BE4CF78E1047674F7B91B577049,819.4932503245316
bitcoinaddress_B39CE0DDC23406A359889922EBB58D837015254F,796.528533205499
bitcoinaddress_8333C63D039746EB8CC141B9D70FAD5763B5BE9C,787.2948570899546
bitcoinaddress_77323B2902628E4468D6C97A3BB14FDDFF2D2CD4,772.0155125776906
bitcoinaddress_37A84A509232BA6FB04025EFF75DC7CE7B98278D,748.467423745115
bitcoinaddress_B63DA1D5425F46C563CCDEB4B68B3D1DD0A7EC7D,745.9067298125285
bitcoinaddress_980AEC5408EAF1B502BFAAF449358B78334A2B5B,731.2097036392854
bitcoinaddress_1BE78E3AF73DE547E3E5F5725A39C9DAB0371FCA,702.0119689284844
bitcoinaddress_B074D0EDA38F5343CFEF3D6079B947D131A58986,686.8290311641276
bitcoinaddress_75C27B0C59D0418D37E4D0E8D447B4E0B5853551,675.5529440704206
bitcoinaddress_10809D22C0E8BDC6B3D9F5D0217A89B8278BBAD7,641.8753153143009
bitcoinaddress_6DD4497B5B62CF5076CFB7CB0401B9B35154C169,633.1593416099345
bitcoinaddress_D47C1C9AFC2A18319E7B78762DC8814727473E90,626.5601251937388
bitcoinaddress_0354CE77A8D15E48CEAEA217A9825538F5BCFFB9,573.8380001760913
bitcoinaddress_CA9252E450190B5155DB19255E95088210BF6CE9,564.5687916997907
bitcoinaddress_66A731E9FEB460A3A48B5C56BB635B3A409DBD56,559.6545088188356
bitcoinaddress_6370D01B58FA33EBF5C02F0BD270796DE3594392,555.6308224737336
bitcoinaddress_E1E62CCCDF52C20DA0958A68F1D90A381792D669,555.3167022917584
bitcoinaddress_C104E20A81C387588B04331F1836196DE5411869,525.8023095624692
bitcoinaddress_E593D862933B81BEF2690AF6AE31C8B18B6CBD01,514.8158266833585
bitcoinaddress_145246DEA415979CF7FB5CF334AC8673BC7EA22C,512.5780441606057
bitcoinaddress_9076E5058C926CDAA3319F0B0406A547EF21B6CD,505.0386357506193
bitcoinaddress_1B781E8B2F652C630CF73C9E64C94C3A56A2925D,478.7271761511443
bitcoinaddress_22DD3F2E9CE984D3084D1FA91757029E9E662BD7,467.906789507422
bitcoinaddress_880E751776EC4BA56CA5730EEAD792EDED1E9392,465.90024537011647
bitcoinaddress_A8154774A68CA865F252787EB32C892AC1252178,445.13958618853434
bitcoinaddress_4D0F0A0789408722989805D1ED2FE61A028B5310,439.8092528040614
bitcoinaddress_B8FEC5FD25ED25FD2CCCAB7210ED5A85286F8CFC,409.0966814940342
bitcoinaddress_0568015A9FACCCFD09D70D409B6FC1A5546CECC6,402.8256700041752
bitcoinaddress_4FFBA87EAB9603E39043D012BCF947DC26FD215A,394.2994347008315
bitcoinaddress_B4A3D8EA51AB9FA549B632B2942E429BF73B5F92,386.8001779034331
bitcoinaddress_98763A0981E90698C49C04C63DC48A04B4410CA0,365.69909591180505
bitcoinaddress_99828A5A544375CD4B76B11A54FB00B6C0E56D91,353.69988793172996
bitcoinaddress_3C5F84F956EC1B2B7E47AC705F86459914D67B2F,341.7212283199487
bitcoinaddress_87FEE61745A16200945EFBB51D6B4B4393AAFB46,339.5471135620513
bitcoinaddress_9A4BBF9D7676E0D1243869AD2B81A5366F9B8ED2,337.5220757817736
bitcoinaddress_E9951FD054C0F84D318014FB725DC91BC4D3DB6B,324.34341315391924
bitcoinaddress_EF315F5B108D4BC4FAD5ED55910A93DE3D41E72B,319.6242816343823
bitcoinaddress_06D18D35CC73F29813615F0118A9A2414EA523DF,311.8411867575832
bitcoinaddress_328A04FDAE0653C2E1BB4BDA1C4D83BC8FE6463B,280.35375603205944
bitcoinaddress_91CDE1A498461E3A156E0493B0D3440AE23657DA,280.32523655080917
bitcoinaddress_2C3414142438DA951751E6E93961E9A800D4489E,273.08004064160116
bitcoinaddress_77ED2B969971BB81148E12B679B5C6D019D0B01F,269.6423288730628
bitcoinaddress_89845E531F81AED19A5D9D172AD5B29867B97422,268.42231411213714
bitcoinaddress_B5828300F3646411A4472CC757814B4C3F3B111C,267.39700385432485
bitcoinaddress_A82CECE24D9B404B98D52929D3D9D5231F774F5D,255.2558997388058
bitcoinaddress_02CC4F6E8688C4CFBD3416ABC4F006F60E7328F7,253.9498919713584
bitcoinaddress_5FA8E56F8C993BD3B805F77E1056418760B06A5A,251.18805200176035
bitcoinaddress_31EAE5E8E38C48B048EB6FA98E3F896939F1CF75,249.56101699908837
bitcoinpubkey_4104059E8A862B49A52E27DD65A9E10CFAEA91C17EDE2C316157E1D88D85E42EDAC82D13DE6E7CE755910CC6098C7436B2AEBB01FBFA72CD2C97AA5B9A3AB1EC9042,243.01596653079977
bitcoinaddress_C6F962372FA1FD2A068A671533BC6EDB8935A735,241.91185376525715
bitcoinaddress_5C2C0EDCD779860090F1E66C1EBE35942EE35CBD,237.63223174931386
bitcoinaddress_8DE915CBB1A8E4E432B014C048F4379522EBB175,235.42372823699782
bitcoinaddress_272666ECF1F8ACA9CF03F6657D547032200DD50B,235.3371467815346
bitcoinaddress_642231FF7596DD1664E909F2A6FA84C77ADE42B8,233.64262896027017
bitcoinaddress_05DA61027A3136A6994B728E8BDBB1C70ED8E8F6,233.12007503773864
bitcoinaddress_C37467C6F141F3657D1A798354BFB81AFEC027AA,231.67942704946648
bitcoinaddress_24C2CA9BF94FAC01FDC802CDE0F1F24056DC7989,231.24970659236237
bitcoinaddress_0921572AA0A52C41DE181EFB40591E99B935ABCB,227.3108188524739
bitcoinaddress_20E1ABFE414A2F100D880FFD3457969BAD855BE2,226.84864606035887
bitcoinaddress_10813D637886E0A29895654A035538B7DBF6B5C4,218.66941581943337
bitcoinaddress_773EE90F07F98567671F850C587041729C84D934,214.65763549514162
bitcoinaddress_431E75242598848B17C61A9EAEF3B5C4BAD8ACF2,214.23283197763504
bitcoinaddress_35B57178DB0FCF0982DF9A03A66EC4753FBD132D,210.98309363921854
bitcoinaddress_953136825C2441BDA15B950EEE600F4E019AD79C,208.77540071178453
bitcoinaddress_DD0F21F83D5754A14D0A5A34FD7CEAA3D33A01A2,208.27675959426733
bitcoinaddress_E71A6697433471C1D376F42CB86618B432530048,202.77606223531203
bitcoinaddress_ED91088F8AE4075DF8C6476807D2FFCF34DFE7BC,190.61933577708353
bitcoinaddress_E4E2A5CE9560A20EDA9A8E075D19F5581F2B1966,190.44559060928987
bitcoinaddress_FAFF2682D6D399BB40F5145013F5B9C304E1A7B2,190.22865049955524
bitcoinaddress_E563DB080EF2A61CA04E1201BFEB392E7FE79F7C,182.79136232171106
