nodeID,valueCount
1253457,2
1335335,2
634217,2
954047,2
1021369,2
360993,2
191329,2
322481,2
403574,2
629678,2
1919197,2
357592,2
1207236,2
2407760,2
805386,2
627034,2
809800,2
1534737,2
2050353,2
1227401,2
1284025,2
123305,2
909301,2
1882617,2
846123,2
928159,2
705637,2
916919,2
1094162,2
1444235,2
662988,2
2420791,2
2321639,2
1246028,2
699699,2
1023261,2
579481,2
589264,2
1770247,2
2056103,2
1133345,2
458047,2
1547589,2
173815,2
2117339,2
1265115,2
320706,2
845044,2
6165,2
1151287,2
2516513,2
234917,2
1333315,2
595707,2
1674997,2
374274,2
2458113,2
251088,2
708249,2
1141499,2
223875,2
1665171,2
1360608,2
430155,2
613142,2
1664070,2
2309836,2
448988,2
1296785,2
2314011,2
1268291,2
809556,2
973872,2
974249,2
269804,2
307011,2
265213,2
935887,2
70052,2
324782,2
560522,2
1320522,2
456947,2
1783955,2
1952469,2
1958347,2
186645,2
1651393,2
634328,2
1071984,2
1225442,2
1478729,2
439471,2
1273355,2
54250,2
1820369,2
2219346,2
151222,2
170321,2
2021121,2
41491,2
646141,2
988906,2
42211,2
938012,2
2036818,2
190416,2
2103880,2
761236,2
1198686,2
2081557,2
475930,2
264093,2
256682,2
200167,2
474928,2
570601,2
504548,2
1174597,2
736802,2
221116,2
292385,2
997084,2
1640038,2
202751,2
88710,2
561178,2
1794484,2
234482,2
496056,2
709974,2
635142,2
811716,2
1798808,2
176792,3
1796878,3
1855471,3
113584,3
310808,3
410544,3
990838,3
2368210,3
326006,3
1327318,3
2426563,3
381579,3
183167,3
122300,3
1026650,3
517040,3
512076,3
35685,3
917727,3
939743,3
2002802,3
700357,3
549386,3
474020,3
56626,3
1299908,3
506561,8
390714,4
1203364,4
438052,4
25610,4
1064500,4
151385,4
1450887,4
950773,4
123983,4
217882,4
49230,4
589148,4
293475,4
576967,5
385183,5
252075,5
0,1613000
