NumTriangles,Frequency
172631,1
120575,1
77221,3
77219,31
77218,2
77217,41
58910,2
58909,22
27469,1
25623,1
5077,31
4977,1
4976,361
4881,1
4877,7
4876,6
4875,255
4785,1
4778,1
4775,2
4774,54
4590,1
3843,1
3397,1
3126,1
3013,1
2899,1
2756,1
2734,1
2581,1
2525,1
2335,1
2228,1
2137,1
2070,1
1983,1
1807,1
1720,1
1664,1
1554,1
1498,1
1488,1
1461,1
1441,1
1399,1
1398,1
1340,1
1328,1
1312,1
1306,1
1268,1
1243,1
1242,1
1233,1
1228,1
1210,1
1181,1
1140,2
1138,1
1125,1
1123,2
1113,1
1077,2
1073,1
1061,1
1056,1
1054,2
1038,1
1032,1
1026,1
998,1
992,1
985,1
980,1
979,1
975,1
961,1
958,1
956,1
936,1
920,1
919,1
906,1
901,2
900,1
882,1
874,1
871,1
869,1
860,1
858,1
833,1
822,1
821,2
820,1
814,1
808,2
803,1
802,1
800,2
798,1
792,1
791,1
789,1
783,3
780,1
772,1
771,1
770,1
769,8
756,1
754,1
746,1
742,2
740,2
738,2
736,1
728,1
727,2
725,1
721,2
719,1
715,2
713,2
712,1
709,2
708,4
701,1
700,1
699,2
693,1
692,1
689,1
687,1
685,1
682,1
675,1
667,1
666,1
664,1
660,1
657,1
652,1
651,1
649,1
647,1
646,1
645,1
643,1
637,1
636,1
635,1
634,1
633,2
632,1
631,1
629,1
615,1
609,1
603,1
602,1
599,1
593,1
587,1
585,1
584,2
582,1
579,1
571,1
565,1
563,1
561,1
560,1
558,2
554,1
549,1
547,1
546,1
545,1
544,1
543,1
542,1
541,2
540,2
539,1
537,3
536,1
531,3
529,1
525,2
524,2
523,3
522,1
520,1
518,1
514,4
512,1
510,1
509,1
508,1
506,1
504,1
503,1
502,1
501,1
499,1
498,2
497,1
496,2
493,1
492,4
491,1
489,1
487,2
486,1
485,4
481,1
480,1
478,1
477,1
476,3
475,4
474,1
470,1
469,1
468,4
466,2
465,4
464,4
463,1
461,2
456,2
455,1
454,2
453,6
452,2
451,4
450,1
449,2
448,2
447,2
446,2
445,1
444,2
443,1
442,2
440,1
439,1
438,1
436,2
435,2
434,2
433,2
432,2
431,1
430,3
429,4
428,3
427,5
426,2
425,1
424,5
422,3
421,4
420,2
417,2
415,1
414,3
413,1
412,2
410,4
409,2
408,2
407,1
406,5
405,2
403,2
402,3
401,1
400,3
399,3
398,1
397,1
396,1
395,4
394,2
393,2
392,1
391,2
390,3
389,1
387,4
386,1
385,2
384,1
383,1
382,4
381,3
380,5
379,4
378,1
374,2
373,2
372,6
371,1
370,1
369,2
368,2
366,1
365,3
364,1
363,1
362,3
361,1
360,2
359,3
358,1
357,2
355,4
354,2
353,1
352,3
350,2
349,2
348,1
347,3
346,1
345,1
344,1
343,1
341,5
340,2
337,8
336,5
335,1
334,4
333,4
332,3
331,3
330,1
329,1
328,4
327,2
326,2
324,4
323,4
322,2
321,6
320,1
319,3
318,1
317,2
316,4
315,4
314,1
313,1
312,1
310,1
308,4
307,3
306,2
305,3
304,3
303,1
302,3
301,1
300,3
299,2
298,5
296,1
295,1
294,2
293,2
292,5
291,5
290,2
289,1
288,3
287,3
284,1
283,3
282,1
281,1
280,5
279,10
278,3
277,6
276,6
275,3
274,7
273,2
272,8
271,3
270,2
269,1
268,1
267,3
266,11
265,5
264,3
263,5
262,3
261,7
260,10
259,3
258,7
257,2
256,5
255,6
254,4
253,3
252,3
250,7
249,1
248,4
247,3
246,4
245,4
244,8
243,5
242,6
241,5
240,8
239,7
238,5
237,1
236,1
235,7
234,5
232,4
231,2
230,5
229,4
228,2
227,5
226,2
225,4
224,5
223,7
222,10
221,5
219,6
218,4
217,5
216,3
215,4
214,4
213,8
212,7
211,6
210,5
209,3
208,2
207,3
206,9
205,7
204,5
203,11
202,4
201,6
200,5
199,8
198,8
197,3
196,10
195,9
194,6
193,5
192,8
191,7
190,3
189,8
188,6
187,7
186,13
185,8
184,7
183,7
182,7
181,13
180,8
179,3
178,7
177,10
176,7
175,7
174,7
173,12
172,9
171,10
170,11
169,14
168,8
167,13
166,14
165,14
164,15
163,14
162,18
161,11
160,13
159,24
158,19
157,7
156,16
155,18
154,20
153,13
152,15
151,16
150,15
149,24
148,19
147,64
146,24
145,39
144,35
143,23
142,24
141,33
140,25
139,29
138,27
137,15
136,28
135,26
134,35
133,28
132,43
131,39
130,37
129,18
128,39
127,25
126,23
125,28
124,29
123,26
122,12
121,26
120,20
119,28
118,19
117,13
116,36
115,23
114,33
113,27
112,36
111,30
110,35
109,34
108,29
107,33
106,26
105,29
104,32
103,37
102,38
101,36
100,42
99,49
98,34
97,40
96,43
95,46
94,40
93,32
92,55
91,56
90,49
89,54
88,38
87,51
86,40
85,34
84,54
83,51
82,52
81,57
80,63
79,41
78,55
77,69
76,50
75,55
74,51
73,46
72,43
71,59
70,61
69,59
68,70
67,64
66,47
65,63
64,68
63,75
62,44
61,53
60,74
59,67
58,84
57,85
56,86
55,75
54,111
53,70
52,82
51,80
50,89
49,66
48,105
47,113
46,90
45,101
44,102
43,89
42,105
41,121
40,122
39,138
38,148
37,127
36,179
35,146
34,186
33,161
32,197
31,172
30,221
29,209
28,233
27,247
26,294
25,324
24,326
23,325
22,430
21,395
20,478
19,511
18,653
17,579
16,673
15,739
14,921
13,902
12,1218
11,1304
10,1722
9,1915
8,2758
7,3258
6,5473
5,7406
4,14471
3,25058
2,90253
1,162836
0,2433025
